adt	mrna
CD86	CD86
CD274	CD274
CD3	CD3D
CD3	CD3G
CD3	CD3E
CD56	NCAM1
CD19	CD19
CD33	CD33
CD11c	ITGAX
CD34	CD34
CD45RA	PTPRC
CD123	IL3RA
CD8a	CD8A
CD14	CD14
CD25	IL2RA
CD45RO	PTPRC
CD103	ITGAE
CD69	CD69
CD197	CCR7
CD27	CD27
CD95	FAS
CD1c	CD1C
CD370	CLEC9A
FceRIa	FCER1A
CD163	CD163
CD28	CD28
CD38	CD38
CD127	IL7R
CD94	KLRD1
CD4	CD4
HLA-DR	HLA-DRA
HLA-DR	HLA-DRB1
HLA-DR	HLA-DRB5
CD16	FCGR1A
CD16	FCGR2A
CD16	FCGR3A
CD16	FCGR1B
CD16	FCGR2B
CD16	FCGR3B
